sampleID,allphotos,famacha_score,calinch_pixel,calCM_pixel,errcalposition,errrearposition,errsideposition,calsidebodyarea,calsidebellyht,calsidelength,calsidewither,calsidedepth,reardepth,rearht,rearbellyht,rearwidth,sidebodyarea,sidebellyht,sidelength,sidewither,sidedepth,girth,ADAPTMapKGS,ADAPTMapLBS,tape,weight,chest,ht,len,crosschk
AF-1-hi,"[('2013_Validation_GEO_Allegany_R0012973.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012975.png', 'SIGN')]",missed,0.238920519,0.606858115,1,0.995321064,1,3808.641531,43.08692618,79.49841309,80.1052712,37.01834502,37.01834502,77.96287816,40.94453313,25.80066471,3808.641531,43.08692618,79.49841309,80.1052712,37.01834502,98.67586975,30.73926994,67.76854517,125,121,88,76,81,V-14-Allegheny-1
AF-1-lo,"[('2013_Validation_GEO_Allegany_R0012981.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012983.png', 'SIGN')]",missed,0.196078431,0.498039212,1,0.997949507,1,4781.674478,44.82352912,81.18039162,82.17647005,37.35294093,37.35294093,80.3797463,43.02680537,26.47803408,4781.674478,44.82352912,81.18039162,82.17647005,37.35294093,100.2654611,36.8864639,81.3207991,125,121,88,76,81,V-14-Allegheny-1
AF-2-hi,"[('2013_Validation_GEO_Allegany_R0012988.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012990.png', 'SIGN')]",missed,0.226648293,0.575686662,1,0.999255515,1,4211.147929,37.419633,77.71769931,77.14201265,39.72237965,39.72237965,74.3375962,34.61521655,27.23820319,4211.147929,37.419633,77.71769931,77.14201265,39.72237965,105.1814376,39.99977466,88.18448003,132,115,90,75,79,V-15-Allegheny-2
AF-2-lo,"[('2013_Validation_GEO_Allegany_R0012994.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0012996.png', 'SIGN')]",missed,0.191482525,0.48636561,1,0.997587792,1,4702.669086,37.93651761,78.79122888,74.90030399,36.96378639,36.96378639,79.13373987,42.16995348,26.03083548,4702.669086,37.93651761,78.79122888,74.90030399,36.96378639,98.95172064,41.33445815,91.12695583,132,115,90,75,79,V-15-Allegheny-2
AF-3-hi,"[('2013_Validation_GEO_Allegany_R0013000.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013002.png', 'SIGN')]",missed,0.213463378,0.542196976,1,0.995532685,1,2562.422909,34.70060647,63.97924318,62.35265225,27.65204578,27.65204578,62.21710301,34.56505723,21.7266074,2562.422909,34.70060647,63.97924318,62.35265225,27.65204578,77.56380704,20.03056253,44.1598673,54,38,63,57,58,V-16-Allegheny-3
AF-3-lo,"[('2013_Validation_GEO_Allegany_R0013006.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013008.png', 'SIGN')]",missed,0.204958475,0.520594522,1,0.99915984,1,2330.18108,34.87983297,59.34777549,60.90955906,26.02972609,26.02972609,64.30873506,38.27900896,20.41547145,2330.18108,34.87983297,59.34777549,60.90955906,26.02972609,72.95594569,16.64461408,36.69512267,54,38,63,57,58,V-16-Allegheny-3
AF-4-hi,"[('2013_Validation_GEO_Allegany_R0013012.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013014.png', 'SIGN')]",missed,0.190485312,0.483832688,1,0.984955143,1,1651.320965,29.99762667,51.28626495,49.83476689,19.83714022,19.83714022,40.01630009,20.17915988,14.70684533,1651.320965,29.99762667,51.28626495,49.83476689,19.83714022,54.26156562,8.460830715,18.65295401,32,28,52,50,50,V-17-Allegheny-4
AF-4-lo,"[('2013_Validation_GEO_Allegany_R0013018.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013020.png', 'SIGN')]",missed,0.186262898,0.473107758,1,0.998612245,1,2024.901205,27.44024997,51.56874563,51.09563787,23.6553879,23.6553879,49.77487871,26.11949081,17.74154093,2024.901205,27.44024997,51.56874563,51.09563787,23.6553879,65.02614375,13.89530114,30.63392022,32,28,52,50,50,V-17-Allegheny-4
AF-5-hi,"[('2013_Validation_GEO_Allegany_R0013025.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013027.png', 'SIGN')]",missed,0.244866444,0.621960764,1,0.998183043,1,4062.025749,36.0737243,78.36705625,77.12313472,41.04941042,41.04941042,83.38161491,42.33220449,28.8628667,4062.025749,36.0737243,78.36705625,77.12313472,41.04941042,109.8179481,42.60502031,93.9280682,108,105,84,73,81,V-18-Allegheny-5
AF-5-lo,"[('2013_Validation_GEO_Allegany_R0013032.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013034.png', 'SIGN')]",missed,0.2,0.507999997,1,0.9968,1,4608.06797,35.05199977,78.23199948,73.15199952,38.09999975,38.09999975,77.85652123,39.75652148,25.95217374,4608.06797,35.05199977,78.23199948,73.15199952,38.09999975,100.6129188,44.07835297,97.17621336,108,105,84,73,81,V-18-Allegheny-5
AF-6-hi,"[('2013_Validation_GEO_Allegany_R0013038.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013040.png', 'SIGN')]",missed,0.269640741,0.684887477,1,0.987624489,1,2805.983992,41.77813608,76.02250991,73.96784748,32.1897114,32.1897114,70.23209761,38.0423862,21.06962928,2805.983992,41.77813608,76.02250991,73.96784748,32.1897114,83.65957671,21.29776883,46.95358126,87,79,77,72,74,V-19-Allegheny-6
AF-6-lo,"[('2013_Validation_GEO_Allegany_R0013044.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013046.png', 'SIGN')]",missed,0.226195184,0.574535763,1,0.995262568,1,3240.381706,45.38832531,76.41325654,76.41325654,31.02493123,31.02493123,68.36001795,37.33508673,23.13723685,3240.381706,45.38832531,76.41325654,76.41325654,31.02493123,85.07773466,22.74555936,50.14541561,87,79,77,72,74,V-19-Allegheny-6
AF-7-hi,"[('2013_Validation_GEO_Allegany_R0013051.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013053.png', 'SIGN')]",missed,0.211020896,0.535993072,1,0.998796491,1,1105.753708,25.72766747,38.05550814,45.55941115,19.83174368,19.83174368,46.96991923,27.13817556,18.2660797,1105.753708,25.72766747,38.05550814,45.55941115,19.83174368,59.84392102,6.595054474,14.53961815,22,16,46,42,42,V-20-Allegheny-7
AF-7-lo,"[('2013_Validation_GEO_Allegany_R0013057.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013059.png', 'SIGN')]",missed,0.243902439,0.619512191,1,0.989183927,1,1172.117065,27.25853641,45.22438995,47.70243871,20.4439023,20.4439023,50.32345183,29.87954952,17.82288919,1172.117065,27.25853641,45.22438995,47.70243871,20.4439023,60.10933551,6.698711208,14.76814231,22,16,46,42,42,V-20-Allegheny-7
AF-9-hi,"[('2013_Validation_GEO_Allegany_R0013080.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013082.png', 'SIGN')]",missed,0.166848359,0.42379483,1,0.991360504,1,3030.556829,39.41291918,66.5357883,63.99301932,24.58010014,24.58010014,54.01153583,29.43143569,18.4350751,3030.556829,39.41291918,66.5357883,63.99301932,24.58010014,67.56807926,18.17722802,40.07396078,81,72,74,63,64,V-22-Allegheny-9
AF-9-lo,"[('2013_Validation_GEO_Allegany_R0013086.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013089.png', 'SIGN')]",missed,0.120899526,0.307084794,1,1,1,4504.319758,35.6218361,62.33821317,63.87363714,28.25180104,28.25180104,56.50360209,28.25180104,22.11010516,4504.319758,35.6218361,62.33821317,63.87363714,28.25180104,79.10829728,34.68974157,76.47785138,81,72,74,63,64,V-22-Allegheny-9
AF-10-hi,"[('2013_Validation_GEO_Allegany_R0013093.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013095.png', 'SIGN')]",missed,0.25,0.634999996,1,0.994402985,1,4711.064969,34.28999977,89.53499941,76.83499949,42.54499972,42.54499972,81.01034193,38.46534221,36.13410935,4711.064969,34.28999977,89.53499941,76.83499949,42.54499972,123.5888555,47.74172165,105.2525654,160,156,97,73,85,V-23-Allegheny-10
AF-10-lo,"[('2013_Validation_GEO_Allegany_R0013100.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013102.png', 'SIGN')]",missed,0.197934742,0.502754241,1,0.994048887,1,5240.207451,38.71207653,84.46271243,78.42966154,39.71758501,39.71758501,75.50705722,35.78947221,28.80616056,5240.207451,38.71207653,84.46271243,78.42966154,39.71758501,107.6368478,45.59798952,100.5264412,160,156,97,73,85,V-23-Allegheny-10
AF-11-hi,"[('2013_Validation_GEO_Allegany_R0013106.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013109.png', 'SIGN')]",missed,0.394736842,1.002631572,1,0.910488006,1,3441.031556,35.09210503,93.24473623,82.21578893,47.1236839,47.1236839,85.33207625,38.20839235,31.84032696,3441.031556,35.09210503,93.24473623,82.21578893,47.1236839,124.0363782,37.06314203,81.71030801,170,157,100,69,85,V-24-Allegheny-11
AF-11-lo,"[('2013_Validation_GEO_Allegany_R0013118.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013114.png', 'SIGN')]",missed,0.284721566,0.723192773,1,0.956671423,1,4216.213866,34.7132531,92.56867493,76.65843393,41.94518083,41.94518083,85.30424416,43.35906333,32.99059166,4216.213866,34.7132531,92.56867493,76.65843393,41.94518083,117.7088362,41.45763861,91.39852248,170,157,100,69,85,V-24-Allegheny-11
AF-12-hi,"[('2013_Validation_GEO_Allegany_R0013121.png', 'SIGN'), ('2013_Validation_GEO_Allegany_R0013119.png', 'Rear')]",missed,0.263157895,0.668421048,1,0.988919668,1,2546.015773,38.09999975,64.83684168,71.52105216,33.42105241,33.42105241,62.80852953,29.38747712,30.5399272,2546.015773,38.09999975,64.83684168,71.52105216,33.42105241,100.4696718,23.31025995,51.39036832,76,67,72,61,65,V-25-Allegheny-12
AF-12-lo,"[('2013_Validation_GEO_Allegany_R0013126.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013128.png', 'SIGN')]",missed,0.227272727,0.577272723,1,0.995127086,1,2570.595438,35.79090885,61.76818141,66.3863632,30.59545434,30.59545434,65.41097136,34.81551701,26.37539168,2570.595438,35.79090885,61.76818141,66.3863632,30.59545434,89.48959566,22.39641374,49.37568065,76,67,72,61,65,V-25-Allegheny-12
AF-13-hi,"[('2013_Validation_GEO_Allegany_R0013132.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013134.png', 'SIGN')]",missed,0.237824711,0.604074762,1,1,1,2630.141513,41.68115857,76.11342,68.26044809,26.57928952,26.57928952,62.82377523,36.24448571,22.35076619,2630.141513,41.68115857,76.11342,68.26044809,26.57928952,76.85915178,17.78385998,39.20673199,85,84,76,63,67,V-26-Allegheny-13
AF-13-lo,"[('2013_Validation_GEO_Allegany_R0013138.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013140.png', 'SIGN')]",missed,0.217244206,0.551800281,1,0.995860084,1,3235.756845,37.52241908,72.28583676,68.97503507,31.45261599,31.45261599,76.21210798,44.75949199,31.45261599,3235.756845,37.52241908,72.28583676,68.97503507,31.45261599,98.81130734,29.382373,64.77709703,85,84,76,63,67,V-26-Allegheny-13
AF-14-hi,"[('2013_Validation_GEO_Allegany_R0013144.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013146.png', 'SIGN')]",missed,0.212531222,0.5398293,1,0.998542919,1,3785.283048,33.46941657,77.73541913,66.93883314,33.46941657,33.46941657,70.2857748,36.81635823,28.44900408,3785.283048,33.46941657,77.73541913,66.93883314,33.46941657,97.26122773,36.1932976,79.79262773,92,87,79,63,72,V-27-Allegheny-14
AF-14-lo,"[('2013_Validation_GEO_Allegany_R0013150.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013152.png', 'SIGN')]",missed,0.222222222,0.564444441,1,0.996258885,1,3978.768863,41.76888861,76.76444394,79.0222217,37.25333309,37.25333309,83.66732185,46.41398876,32.97836044,3978.768863,41.76888861,76.76444394,79.0222217,37.25333309,110.3196862,36.93209367,81.42139559,92,87,79,63,72,V-27-Allegheny-14
AF-15-hi,"[('2013_Validation_GEO_Allegany_R0013156.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013158.png', 'SIGN')]",missed,0.238095238,0.604761901,1,0.991049051,1,3492.499977,40.51904735,78.0142852,74.9904757,34.47142834,34.47142834,88.33303513,53.86160679,38.78035689,3492.499977,40.51904735,78.0142852,74.9904757,34.47142834,115.0636352,33.4855172,73.82298894,101,100,82,69,75,V-28-Allegheny-15
AF-15-lo,"[('2013_Validation_GEO_Allegany_R0013162.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013164.png', 'SIGN')]",missed,0.204733622,0.520023395,1,0.989704878,1,3585.041287,41.08184822,80.08360287,70.72318175,29.64133353,29.64133353,59.28266706,29.64133353,22.54411282,3585.041287,41.08184822,80.08360287,70.72318175,29.64133353,81.97270744,24.78306976,54.6373608,101,100,82,69,75,V-28-Allegheny-15
AF-16-hi,"[('2013_Validation_GEO_Allegany_R0013168.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013170.png', 'SIGN')]",missed,0.214274779,0.544257934,1,0.999165206,1,3126.761833,34.28824987,72.38630527,64.22243626,29.93418639,29.93418639,64.85740385,34.92321746,29.93418639,3126.761833,34.28824987,72.38630527,64.22243626,29.93418639,94.04102006,28.4373588,62.69369566,81,76,74,63,64,V-29-Allegheny-16
AF-16-lo,"[('2013_Validation_GEO_Allegany_R0013175.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013177.png', 'SIGN')]",missed,0.215889057,0.548358201,1,0.991206022,1,2830.076677,32.35313388,67.99641697,61.41611855,29.06298467,29.06298467,62.2778243,33.21483963,24.4498125,2830.076677,32.35313388,67.99641697,61.41611855,29.06298467,84.05770524,24.70949591,54.4751581,81,76,74,63,64,V-29-Allegheny-16
AF-17-hi,"[('2013_Validation_GEO_Allegany_R0013181.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013183.png', 'SIGN')]",missed,0.217311542,0.551971314,1,1,1,3193.15405,41.94981984,70.10035684,73.96415604,32.0143362,32.0143362,74.51612735,42.50179116,29.25447963,3193.15405,41.94981984,70.10035684,73.96415604,32.0143362,96.24083084,26.99654107,59.51723371,90,85,78,65,69,V-30-Allegheny-17
AF-17-lo,"[('2013_Validation_GEO_Allegany_R0013188.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013190.png', 'SIGN')]",missed,0.224492519,0.570210994,1,1,1,3128.177513,37.06371461,72.41679625,68.42531929,31.36160467,31.36160467,71.84658525,40.48498058,26.79991672,3128.177513,37.06371461,72.41679625,68.42531929,31.36160467,91.35990417,25.73716107,56.7407738,90,85,78,65,69,V-30-Allegheny-17
AF-18-hi,"[('2013_Validation_GEO_Allegany_R0013196.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013198.png', 'SIGN')]",missed,0.182200884,0.462790243,1,0.998155713,1,4213.242369,40.26275111,74.50922907,73.58364859,33.32089747,33.32089747,71.02612356,37.70522609,22.36007594,4213.242369,40.26275111,74.50922907,73.58364859,33.32089747,87.4634685,34.8424411,76.81449652,92,87,79,68,74,V-31-Allegheny-18
AF-18-lo,"[('2013_Validation_GEO_Allegany_R0013202.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013204.png', 'SIGN')]",missed,0.208333333,0.529166663,1,0.994739057,1,3977.21664,47.62499969,76.72916616,82.54999946,34.92499977,34.92499977,75.04155356,40.11655379,23.59797282,3977.21664,47.62499969,76.72916616,82.54999946,34.92499977,91.92767037,30.53113173,67.30967859,92,87,79,68,74,V-31-Allegheny-18
AF-19-hi,"[('2013_Validation_GEO_Allegany_R0013211.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013213.png', 'SIGN')]",missed,0.225812195,0.573562972,1,0.996955752,1,4677.979601,45.3114748,88.90226068,83.74019393,38.42871913,38.42871913,71.44494261,33.01622348,25.43872957,4677.979601,45.3114748,88.90226068,83.74019393,38.42871913,100.3227538,38.50646242,84.8922874,136,113,91,76,79,V-32-Allegheny-19
AF-19-lo,"[('2013_Validation_GEO_Allegany_R0013219.png', 'Rear'), ('2013_Validation_GEO_Allegany_R0013221.png', 'SIGN')]",missed,0.222222222,0.564444441,1,0.998568617,1,4893.733301,43.46222194,90.31111052,82.40888834,38.94666641,38.94666641,82.8302342,43.88356779,27.42722987,4893.733301,43.46222194,90.31111052,82.40888834,38.94666641,104.2598725,41.31000466,91.07304506,136,113,91,76,79,V-32-Allegheny-19
CA-1-lo,"[('2013_Validation_GEO_Carroll_R0013225.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013227.png', 'SIGN')]",missed,0.292440527,0.742798933,1,0.995723927,1,2193.485248,36.3971477,69.82309968,66.10910501,29.71195731,29.71195731,57.30163195,27.58967464,28.2971022,2193.485248,36.3971477,69.82309968,66.10910501,29.71195731,91.12041759,19.15408546,42.22756456,64,52,67,58,58,V-33-Carroll-1
CA-1-hi,"[('2013_Validation_GEO_Carroll_R0013233.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013235.png', 'SIGN')]",missed,0.227272727,0.577272723,1,0.990109021,1,2365.086348,36.36818158,64.0772723,63.49999958,27.131818,27.131818,62.98457751,35.8527595,20.3488635,2365.086348,36.36818158,64.0772723,63.49999958,27.131818,74.5824801,16.64581977,36.69778076,64,52,67,58,58,V-33-Carroll-1
CA-2-lo,"[('2013_Validation_GEO_Carroll_R0013239.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013242.png', 'SIGN')]",missed,0.274978022,0.698444171,1,0.983197131,1,1915.133916,44.00198274,67.74908454,69.14597288,25.14399014,25.14399014,57.71688646,32.57289632,20.57235557,1915.133916,44.00198274,67.74908454,69.14597288,25.14399014,71.81106791,11.24373409,24.78821074,62,55,66,60,59,V-34-Carroll-2
CA-2-hi,"[('2013_Validation_GEO_Carroll_R0013252.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013254.png', 'SIGN')]",missed,0.186051278,0.472570244,1,0.99267758,1,2759.810225,36.38790878,67.57754488,60.96156147,24.57365268,24.57365268,56.16834899,31.59469631,19.50289896,2759.810225,36.38790878,67.57754488,60.96156147,24.57365268,69.23528542,17.8085105,39.26107714,62,55,66,60,59,V-34-Carroll-2
CA-3-lo,"[('2013_Validation_GEO_Carroll_R0013260.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013262.png', 'SIGN')]",missed,0.198267174,0.503598619,1,0.985258798,1,3056.340017,37.26629779,69.49660939,65.46782044,28.20152265,28.20152265,72.51820111,44.31667845,35.45334276,3056.340017,37.26629779,69.49660939,65.46782044,28.20152265,99.98882878,29.03903057,64.02015593,57,53,64,61,59,V-35-Carroll-3
CA-3-hi,"[('2013_Validation_GEO_Carroll_R0013269.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013273.png', 'SIGN')]",missed,0.220876384,0.561026012,1,0.992034877,1,2568.938108,37.02771678,66.76209541,64.51799136,27.49027458,27.49027458,66.0731161,38.58284152,26.52570354,2568.938108,37.02771678,66.76209541,64.51799136,27.49027458,84.84810003,20.56862091,45.34608394,57,53,64,61,59,V-35-Carroll-3
CA-4-lo,"[('2013_Validation_GEO_Carroll_R0013277.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013279.png', 'SIGN')]",missed,0.277777778,0.705555551,1,0.993290392,1,2548.46665,37.3944442,70.55555509,69.84999954,32.45555534,32.45555534,62.31466626,29.85911091,24.01711095,2548.46665,37.3944442,70.55555509,69.84999954,32.45555534,88.70705678,20.25427039,44.65305912,62,0,66,61,65,V-36-Carroll-4
CA-4-hi,"[('2013_Validation_GEO_Carroll_R0013284.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013286.png', 'SIGN')]",missed,0.263157895,0.668421048,1,0.974406841,1,2680.368403,36.0947366,74.19473635,66.84210482,30.74736822,30.74736822,63.44695029,32.69958207,20.98629894,2680.368403,36.0947366,74.19473635,66.84210482,30.74736822,81.26305435,20.76544912,45.78001622,62,0,66,61,65,V-36-Carroll-4
CA-5-lo,"[('2013_Validation_GEO_Carroll_R0013290.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013292.png', 'SIGN')]",missed,0.256198078,0.650743114,1,1,1,4314.426847,37.09235751,87.1995773,78.0891737,40.99681619,40.99681619,80.04140305,39.04458685,34.48938505,4314.426847,37.09235751,87.1995773,78.0891737,40.99681619,118.5734476,39.71143305,87.54879507,132,0,90,69,71,V-37-Carroll-5
CA-5-hi,"[('2013_Validation_GEO_Carroll_R0013296.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013298.png', 'SIGN')]",missed,0.23255814,0.590697671,1,0.980169461,1,4035.646485,37.80465091,85.65116223,73.24651114,35.44186023,35.44186023,63.53601773,28.0941575,24.63641504,4035.646485,37.80465091,85.65116223,73.24651114,35.44186023,94.37073411,33.70881921,74.315286,132,0,90,69,71,V-37-Carroll-5
CA-6-lo,"[('2013_Validation_GEO_Carroll_R0013302.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013305.png', 'SIGN')]",missed,0.250618506,0.636571001,1,0.994654499,1,2584.478264,35.01140506,70.02281012,64.93024211,29.91883705,29.91883705,61.01096183,31.09212478,28.74554932,2584.478264,35.01140506,70.02281012,64.93024211,29.91883705,92.14980263,23.46615232,51.73405245,67,65,68,56,63,V-38-Carroll-6
CA-6-hi,"[('2013_Validation_GEO_Carroll_R0013313.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013315.png', 'SIGN')]",missed,0.240616786,0.611166633,1,0.997773214,1,2720.302682,34.83649806,66.61716297,66.61716297,31.7806649,31.7806649,65.4681697,33.68750479,26.69575852,2720.302682,34.83649806,66.61716297,66.61716297,31.7806649,91.85455111,24.51969189,54.05671152,67,65,68,56,63,V-38-Carroll-6
CA-7-lo,"[('2013_Validation_GEO_Carroll_R0013320.png', 'Rear'), ('2013_Validation_GEO_Carroll_R0013322.png', 'SIGN')]",missed,0.255081259,0.647906394,1,0.98644449,1,2857.267197,37.57857084,75.80504807,68.67807774,31.0995069,31.0995069,77.74876726,46.64926035,36.00995536,2857.267197,37.57857084,75.80504807,68.67807774,31.0995069,105.4152968,27.37488504,60.35134005,83,78,75,62,67,V-39-Carroll-7
